,Value
2024-07-08,240864.86144517
2024-07-09,241482.03105689754
2024-07-10,239824.30845672637
2024-07-11,240880.03350416565
2024-07-12,240637.5121260806
2024-07-15,242141.17504869442
2024-07-16,241163.05094809833
2024-07-18,237636.40548294762
2024-07-19,231607.26691500624
2024-07-22,234155.40626642306
2024-07-23,231920.1311874176
2024-07-24,231701.68461278357
2024-07-25,231323.8777344288
2024-07-26,236426.28646707104
2024-07-29,238557.96551950744
2024-07-30,239663.26332048455
2024-07-31,240972.4717576949
2024-08-01,239879.61502499908
2024-08-02,236435.28206890108
2024-08-05,230228.60065081288
2024-08-06,229356.21283800708
2024-08-07,234739.58869610852
2024-08-08,232711.32932897453
2024-08-09,235562.9015768743
2024-08-12,235484.49632696624
2024-08-13,234197.49688946718
2024-08-14,232957.97830480468
2024-08-16,237413.45939887303
2024-08-19,239018.7315184708
2024-08-20,239909.50788669597
2024-08-21,240739.78742954312
2024-08-22,242081.15112519177
2024-08-23,243128.4680026359
2024-08-26,244516.56648178832
2024-08-27,243369.0221493464
2024-08-28,245075.68463571073
2024-08-29,244892.3251050914
2024-08-30,246339.27352454403
2024-09-02,245043.4701844085
2024-09-03,245495.14496315853
2024-09-04,245902.7176060388
2024-09-05,245116.84460324672
2024-09-06,242855.72484177988
2024-09-09,244600.30256977375
2024-09-10,245463.2115017878
2024-09-11,245893.88033446012
2024-09-12,249637.86528466656
2024-09-13,249732.8665299522
2024-09-16,250576.67318057956
2024-09-17,251037.23631918264
2024-09-18,249501.91683318658
2024-09-19,249200.65314163652
2024-09-20,252259.21446241328
2024-09-23,254833.67531118472
2024-09-24,254649.57978523226
2024-09-25,254759.72870437743
2024-09-26,256352.9521515237
2024-09-27,257220.46975443838
2024-09-30,254644.07605197025
2024-10-01,256071.55122019944
2024-10-03,252026.05202725006
2024-10-04,248766.1032994214
2024-10-07,247187.2949092883
2024-10-08,250278.23864913516
2024-10-09,250173.15782640295
2024-10-10,250631.76038699248
