,Value
2024-09-17,221265.08731251396
2024-09-18,219515.69203442938
2024-09-19,219575.9701742235
2024-09-20,222606.03972115993
2024-09-23,224758.47916927276
2024-09-24,224667.24311559502
2024-09-25,224612.81064862036
2024-09-26,226217.47580323482
2024-09-27,226934.61617201124
2024-09-30,223905.56422414535
2024-10-01,225032.485211641
2024-10-03,221773.65915215926
2024-10-04,218958.97556538705
2024-10-07,218088.71067531948
2024-10-08,221087.5718158679
2024-10-09,220805.346665608
2024-10-10,221230.6310579186
2024-10-11,221116.67241238442
2024-10-14,220922.183600657
2024-10-15,220695.33252539535
2024-10-16,220083.84065942327
2024-10-17,219999.85484802944
2024-10-18,219526.18945298748
2024-10-21,219558.62245764997
2024-10-22,219959.62243295155
2024-10-23,219828.90887887392
2024-10-24,219455.04301860434
2024-10-25,220106.57551089427
2024-10-28,221756.9217267077
2024-10-29,222639.8743465885
2024-10-30,222611.45947862716
2024-10-31,223730.11800874874
2024-11-01,222984.175517455
2024-11-04,223413.3306367307
2024-11-05,223893.13800990797
2024-11-06,225104.34946239798
2024-11-07,225088.60905416473
2024-11-08,225147.87767656968
2024-11-11,225407.0975303967
2024-11-12,225125.55785539182
2024-11-13,224457.83067784447
2024-11-14,223969.1651235773
2024-11-18,224299.77219404685
2024-11-19,224091.87562538355
2024-11-21,224264.73795954842
2024-11-22,224195.82379830425
2024-11-25,224978.6728742373
2024-11-26,224693.57042867955
2024-11-27,224202.62964839517
2024-11-28,224053.35798909893
2024-11-29,223672.9270165176
2024-12-02,224260.23984737048
2024-12-03,223916.5768317937
2024-12-04,224108.82506305646
2024-12-05,225117.4718962247
2024-12-06,224997.55383075308
2024-12-09,224867.32977927907
2024-12-10,225522.81612959533
2024-12-11,226078.8448117584
2024-12-12,226317.48050369348
2024-12-13,228548.28699854235
2024-12-16,230303.1811407796
2024-12-17,228256.8858568418
2024-12-18,227038.09135059133
2024-12-19,226179.7207056587
2024-12-20,226383.25627046725
2024-12-23,226388.90450946163
2024-12-24,226219.4791952457
2024-12-26,226344.27379044695
2024-12-27,226180.12849932315
2024-12-30,226793.80657145943
2024-12-31,226474.91020326238
2025-01-01,226455.6539451828
2025-01-02,226500.4389045589
2025-01-03,226041.21195646978
2025-01-06,226199.91569326134
2025-01-07,226137.7379973889
2025-01-08,225904.86758210056
2025-01-09,226057.69539200616
2025-01-10,226944.68410948303
2025-01-13,227553.46073068472
2025-01-14,227979.306133388
2025-01-15,228310.8493516122
2025-01-16,228895.63331180648
2025-01-17,228522.2154495106
2025-01-20,229533.4601213407
2025-01-21,230938.8412210825
2025-01-22,230775.93715095794
2025-01-23,230338.58195534823
2025-01-24,231392.63213207133
2025-01-27,231145.0207899638
2025-01-28,231526.5241189721
2025-01-29,231446.5213401365
2025-01-30,233116.8902140501
2025-01-31,233198.48781706294
2025-02-01,235405.34966085124
2025-02-03,236183.44846276625
2025-02-04,237264.92855024396
2025-02-05,237012.54774511437
2025-02-06,234874.32909645545
2025-02-07,234991.60299873984
2025-02-10,235770.90744932156
2025-02-11,236180.13853429016
2025-02-12,235536.82090369042
2025-02-13,235942.2685695059
2025-02-14,236328.07885129374
2025-02-17,236769.89402321528
2025-02-18,236779.51090817605
2025-02-19,237115.05781684944
2025-02-20,236975.29207623168
2025-02-21,236747.47039994478
2025-02-24,236134.74954784152
2025-02-25,236305.76790243387
2025-02-27,236578.22927848753
2025-02-28,237196.74548735298
2025-03-03,237212.7693820747
2025-03-04,236942.11787826367
2025-03-05,236486.09507373854
2025-03-06,235931.23003429544
2025-03-07,235352.15571673276
2025-03-10,235590.3308104907
2025-03-11,235895.41416233746
2025-03-12,236003.97541413142
2025-03-13,235815.08517527615
2025-03-17,235770.4775824641
2025-03-18,234827.39567213424
2025-03-19,235543.1054205281
2025-03-20,235462.084096049
2025-03-21,234912.44433660252
2025-03-24,236473.44161015778
2025-03-25,234550.76934951308
2025-03-26,233232.2219237959
2025-03-27,235227.0832945842
2025-03-28,234635.20997552984
2025-04-01,232442.4462979085
